buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2015,166.66,집합,제2종근린생활, , , ,"44,253",24,1,2017, , ,5,1***,자연녹지, ,46110,목포시, , ,옥암동,목포시,전라남도
2008,161.91,일반,제1종근린생활, , , ,"11,300",23,1,2017, , , ,1**,제2종일반주거,145,46110,목포시, , ,산정동,목포시,전라남도
2002,742.46,일반,제2종근린생활, , , ,"107,000",19,1,2017, , , ,9**,일반상업,346.7,46110,목포시, , ,상동,목포시,전라남도
1992,38.63,집합,제1종근린생활, , , ,"5,500",24,1,2017, , ,1,1***,제2종일반주거, ,46110,목포시, , ,산정동,목포시,전라남도
1978,176.83,일반,제2종근린생활, , , ,"36,000",16,1,2017, , , ,1***,제2종일반주거,146.4,46110,목포시, , ,용당동,목포시,전라남도
 ,118.52,일반,제2종근린생활, , , ,"45,000",10,1,2017, , , ,1***,제1종일반주거,198.3,46110,목포시, , ,산정동,목포시,전라남도
1986,932.1,일반,제2종근린생활, , , ,"60,000",10,1,2017, , , ,*,일반상업,463,46110,목포시, , ,대안동,목포시,전라남도
1990,433.68,일반,제1종근린생활, , , ,"14,000",16,1,2017, , , ,2**,제2종일반주거,187.4,46110,목포시, , ,동명동,목포시,전라남도
1992,846.91,일반,제1종근린생활, , , ,"50,000",12,1,2017, , , ,1***,일반상업,348.1,46110,목포시, , ,용당동,목포시,전라남도
1989,413.15,일반,제1종근린생활, , , ,"14,500",9,1,2017, , , ,*,일반상업,161.9,46110,목포시, , ,수강동2가,목포시,전라남도
2009,1249.44,일반,제2종근린생활, , , ,"150,000",9,1,2017, , , ,1***,중심상업,403.3,46110,목포시, , ,상동,목포시,전라남도
1951,79.33,일반,제1종근린생활, , , ,"7,031",10,1,2017, , , ,*,일반상업,76,46110,목포시, , ,상락동2가,목포시,전라남도
