buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2021,32.0,집합,제2종근린생활,개인, , ,"21,000",24,1,2025,중개거래,강원 춘천시,1,1089,제3종일반주거, ,51110,춘천시, ,개인,우두동,춘천시,강원특별자치도
2002,85.41,일반,기타,개인, , ,"18,000",12,1,2025,직거래, , ,1**,제2종일반주거,149,51110,춘천시, ,기타,후평동,춘천시,강원특별자치도
2023,32.0,집합,제2종근린생활,개인, , ,"23,000",24,1,2025,중개거래,강원 춘천시,1,1087,제2종일반주거, ,51110,춘천시, ,개인,우두동,춘천시,강원특별자치도
2016,78.4,집합,제2종근린생활,개인, , ,"14,637",14,1,2025,직거래, ,3,587-3,준주거, ,51110,춘천시, ,법인,온의동,춘천시,강원특별자치도
1996,461.6,일반,제2종근린생활,개인, , ,"21,700",6,1,2025,직거래, , ,3**,계획관리,430,51110,춘천시,지분,개인,남산면 광판리,춘천시,강원특별자치도
1994,26.24,집합,제2종근린생활,개인, , ,"19,500",2,1,2025,중개거래,강원 춘천시,1,79,제2종일반주거, ,51110,춘천시, ,개인,퇴계동,춘천시,강원특별자치도
1984,16.25,집합,판매,개인, , ,"1,800",10,1,2025,직거래, , ,32,일반상업, ,51110,춘천시, ,개인,죽림동,춘천시,강원특별자치도
1994,12.07,집합,제1종근린생활,개인, , ,"2,500",9,1,2025,직거래, ,2,79,제2종일반주거, ,51110,춘천시, ,개인,퇴계동,춘천시,강원특별자치도
2008,51.87,집합,제1종근린생활,개인, , ,"14,000",2,1,2025,중개거래,강원 춘천시,1,906,제3종일반주거, ,51110,춘천시, ,개인,후평동,춘천시,강원특별자치도
2008,105.0,집합,제1종근린생활,법인, , ,"26,460",19,2,2025,직거래, ,5,799-2,준주거, ,51110,춘천시, ,개인,석사동,춘천시,강원특별자치도
2008,123.03,집합,제1종근린생활,법인, , ,"31,008",19,2,2025,직거래, ,5,799-2,준주거, ,51110,춘천시, ,개인,석사동,춘천시,강원특별자치도
2008,74.49,집합,제1종근린생활,법인, , ,"18,768",19,2,2025,직거래, ,5,799-2,준주거, ,51110,춘천시, ,개인,석사동,춘천시,강원특별자치도
2008,102.18,집합,제1종근린생활,법인, , ,"25,764",19,2,2025,직거래, ,5,799-2,준주거, ,51110,춘천시, ,개인,석사동,춘천시,강원특별자치도
2021,86.4,일반,제2종근린생활,개인, , ,"45,333",12,2,2025,중개거래,강원 춘천시, ,9**,자연녹지,765,51110,춘천시, ,개인,신동면 정족리,춘천시,강원특별자치도
2025,91.0,일반,제2종근린생활,법인, , ,"31,311",14,2,2025,중개거래,강원 춘천시, ,2**,용도미지정,470,51110,춘천시, ,개인,동면 만천리,춘천시,강원특별자치도
1992,12.21,집합,판매,개인, , ,"4,000",21,2,2025,중개거래,강원 춘천시, ,172-1,일반상업, ,51110,춘천시, ,개인,소양로2가,춘천시,강원특별자치도
1992,12.21,집합,판매,개인, , ,"4,000",21,2,2025,중개거래,강원 춘천시, ,172-1,일반상업, ,51110,춘천시, ,개인,소양로2가,춘천시,강원특별자치도
