buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2003,56.1,집합,제2종근린생활, , , ,"11,627",10,1,2020, , ,2,9**,준주거, ,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
2003,49.14,집합,제2종근린생활, , , ,"10,185",10,1,2020, , ,2,9**,준주거, ,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
2003,62.58,집합,제2종근린생활, , , ,"12,969",10,1,2020, , ,2,9**,준주거, ,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
2003,62.58,집합,제2종근린생활, , , ,"12,969",10,1,2020, , ,2,9**,준주거, ,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
2003,49.14,집합,제2종근린생활, , , ,"10,185",10,1,2020, , ,2,9**,준주거, ,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
2003,32.13,집합,제2종근린생활, , , ,"6,659",10,1,2020, , ,2,9**,준주거, ,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
2001,207.44,집합,제1종근린생활, , , ,"90,000",15,1,2020, , ,1,2**,일반상업, ,48121,창원시 의창구, , ,명서동,창원시 의창구,경상남도
1990,1995.37,일반,제2종근린생활, , , ,"370,000",9,1,2020, , , ,6**,제1종일반주거,671,48121,창원시 의창구, , ,중동,창원시 의창구,경상남도
1994,1292.25,일반,교육연구, , , ,"155,000",4,1,2020, , , ,3**,제1종일반주거,349.4,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
2002,27.0,집합,제1종근린생활, , , ,"4,200",6,1,2020, , ,1,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
1996,121.45,집합,기타, , , ,"19,000",18,1,2020, , , ,1**,제1종일반주거, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
2010,98.16,집합,제2종근린생활, , , ,"16,000",23,1,2020, , ,2,4**,제1종일반주거, ,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
1994,53.35,집합,제1종근린생활, , , ,"1,300",29,1,2020, , ,4,7*,준주거, ,48121,창원시 의창구, , ,명서동,창원시 의창구,경상남도
1994,51.0,집합,제1종근린생활, , , ,"1,200",29,1,2020, , ,4,7*,준주거, ,48121,창원시 의창구, , ,명서동,창원시 의창구,경상남도
1994,90.99,집합,제1종근린생활, , , ,"2,500",29,1,2020, , ,4,7*,준주거, ,48121,창원시 의창구, , ,명서동,창원시 의창구,경상남도
1991,487.69,일반,제1종근린생활, , , ,"89,000",2,1,2020, , , ,4**,제1종일반주거,254.1,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
