buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2012,52.8,집합,제1종근린생활, , , ,"22,690",18,1,2013, , ,1,5**,제3종일반주거, ,47111,포항시 남구, , ,효자동,포항시 남구,경상북도
1980,12.23,집합,판매, , , ,750,30,1,2013, , , ,4**,제1종일반주거, ,47111,포항시 남구, , ,해도동,포항시 남구,경상북도
1991,193.05,일반,제2종근린생활, , , ,"14,000",21,1,2013, , , ,1**,준주거,202.6,47111,포항시 남구, , ,대도동,포항시 남구,경상북도
2012,52.8,집합,제1종근린생활, , , ,"21,800",26,1,2013, , ,1,5**,제3종일반주거, ,47111,포항시 남구, , ,효자동,포항시 남구,경상북도
2012,141.56,집합,제1종근린생활, , , ,"54,000",21,1,2013, , ,1,5**,제3종일반주거, ,47111,포항시 남구, , ,효자동,포항시 남구,경상북도
2012,52.8,집합,제1종근린생활, , , ,"21,800",25,1,2013, , ,1,5**,제3종일반주거, ,47111,포항시 남구, , ,효자동,포항시 남구,경상북도
2012,52.8,집합,제1종근린생활, , , ,"22,690",21,1,2013, , ,1,5**,제3종일반주거, ,47111,포항시 남구, , ,효자동,포항시 남구,경상북도
2012,52.8,집합,제1종근린생활, , , ,"22,690",18,1,2013, , ,1,5**,제3종일반주거, ,47111,포항시 남구, , ,효자동,포항시 남구,경상북도
2012,52.8,집합,제1종근린생활, , , ,"22,690",18,1,2013, , ,1,5**,제3종일반주거, ,47111,포항시 남구, , ,효자동,포항시 남구,경상북도
1993,383.53,일반,제2종근린생활, , , ,"82,000",21,1,2013, , , ,9**,일반상업,656.5,47111,포항시 남구,지분, ,대잠동,포항시 남구,경상북도
1994,236.95,일반,제1종근린생활, , , ,"35,700",10,1,2013, , , ,9**,전용공업,409,47111,포항시 남구, , ,장흥동,포항시 남구,경상북도
2002,1615.06,일반,제1종근린생활, , , ,"141,000",25,1,2013, , , ,5**,제1종일반주거,476,47111,포항시 남구, , ,연일읍 유강리,포항시 남구,경상북도
2012,52.8,집합,제1종근린생활, , , ,"21,800",23,1,2013, , ,1,5**,제3종일반주거, ,47111,포항시 남구, , ,효자동,포항시 남구,경상북도
1983,99.04,일반,제1종근린생활, , , ,"19,000",4,1,2013, , , ,9**,일반상업,60,47111,포항시 남구, , ,구룡포읍 구룡포리,포항시 남구,경상북도
2012,54.78,집합,제1종근린생활, , , ,"22,610",18,1,2013, , ,1,5**,제3종일반주거, ,47111,포항시 남구, , ,효자동,포항시 남구,경상북도
2012,141.56,집합,제1종근린생활, , , ,"52,500",28,1,2013, , ,1,5**,제3종일반주거, ,47111,포항시 남구, , ,효자동,포항시 남구,경상북도
2003,500.74,일반,제1종근린생활, , , ,"65,000",3,1,2013, , , ,2**,준주거,261,47111,포항시 남구, , ,연일읍 생지리,포항시 남구,경상북도
1995,19.0,집합,제1종근린생활, , , ,"1,900",2,1,2013, , ,1,1**,제2종일반주거, ,47111,포항시 남구, , ,대도동,포항시 남구,경상북도
1980,424.98,일반,숙박, , , ,"46,500",8,1,2013, , , ,4**,일반상업,231.4,47111,포항시 남구, , ,송도동,포항시 남구,경상북도
1990,330.63,일반,제1종근린생활, , , ,"31,500",28,1,2013, , , ,1*,제1종일반주거,166.3,47111,포항시 남구, , ,대도동,포항시 남구,경상북도
2009,253.35,일반,숙박, , , ,"27,000",24,1,2013, , , ,2**,일반상업,159.5,47111,포항시 남구,지분, ,해도동,포항시 남구,경상북도
2009,253.35,일반,숙박, , , ,"27,000",24,1,2013, , , ,2**,일반상업,159.5,47111,포항시 남구, , ,해도동,포항시 남구,경상북도
2008,38.8,일반,제2종근린생활, , , ,"8,000",15,1,2013, , , ,1***,준공업,264.9,47111,포항시 남구, , ,청림동,포항시 남구,경상북도
1986,394.3,일반,숙박, , , ,"30,000",10,1,2013, , , ,4**,일반상업,165.3,47111,포항시 남구, , ,송도동,포항시 남구,경상북도
2008,949.51,일반,제1종근린생활, , , ,"229,500",3,1,2013, , , ,3**,제2종일반주거,1330,47111,포항시 남구, , ,오천읍 용덕리,포항시 남구,경상북도
2010,19.9,일반,제2종근린생활, , , ,"2,260",7,1,2013, , , ,1**,준공업,30,47111,포항시 남구,지분, ,연일읍 동문리,포항시 남구,경상북도
2007,54.4,집합,판매, , , ,"30,000",9,1,2013, , , ,5**,일반상업, ,47111,포항시 남구, , ,상도동,포항시 남구,경상북도
