buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
1993,1718.4,일반,제2종근린생활, , , ,"2,010,000",31,1,2020, , , ,4*,일반상업,1114.7,26110,중구, , ,창선동2가,중구,부산광역시
1990,832.05,집합,제1종근린생활, , , ,"163,000",29,1,2020, , ,8,6*,일반상업, ,26110,중구, , ,남포동6가,중구,부산광역시
1976,486.62,일반,제1종근린생활, , , ,"120,000",20,1,2020, , , ,2*,일반상업,99.8,26110,중구, , ,부평동1가,중구,부산광역시
 ,6.48,집합,제1종근린생활, , , ,"1,500",2,1,2020, , , ,2*,일반상업, ,26110,중구, , ,신창동4가,중구,부산광역시
 ,6.48,집합,제1종근린생활, , , ,"1,500",2,1,2020, , , ,2*,일반상업, ,26110,중구, , ,신창동4가,중구,부산광역시
 ,6.48,집합,제1종근린생활, , , ,"1,500",2,1,2020, , , ,2*,일반상업, ,26110,중구, , ,신창동4가,중구,부산광역시
 ,178.44,집합,제1종근린생활, , , ,"113,500",29,1,2020, , , ,*,일반상업, ,26110,중구, , ,부평동1가,중구,부산광역시
1981,435.2,일반,제1종근린생활, , , ,"53,000",20,1,2020, , , ,3*,일반상업,112.4,26110,중구, , ,부평동4가,중구,부산광역시
 ,72.86,일반,제1종근린생활, , , ,"65,000",9,1,2020, , , ,7*,일반상업,44.3,26110,중구, , ,부평동2가,중구,부산광역시
1979,1451.04,일반,기타, , , ,"34,300",28,1,2020, , , ,3*,일반상업,40.12,26110,중구,지분, ,부평동2가,중구,부산광역시
1987,47.04,집합,판매, , , ,"7,000",16,1,2020, , , ,9*,일반상업, ,26110,중구, , ,남포동5가,중구,부산광역시
1987,28.67,집합,판매, , , ,"3,000",16,1,2020, , , ,9*,일반상업, ,26110,중구, , ,남포동5가,중구,부산광역시
1987,45.12,집합,판매, , , ,"7,000",16,1,2020, , , ,9*,일반상업, ,26110,중구, , ,남포동5가,중구,부산광역시
