buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
1960,115.8,일반,제2종근린생활, , , ,"8,500",11,1,2011, , , ,8*,계획관리,318,36110, , , ,연동면 내판리,세종시,세종특별자치시
2004,288.0,일반,제2종근린생활, , , ,"17,700",31,1,2011, , , ,1**,계획관리,813,36110, , , ,연동면 응암리,세종시,세종특별자치시
2008,35.28,집합,제2종근린생활, , , ,"15,000",11,3,2011, , ,1,3**,제2종일반주거, ,36110, , , ,조치원읍 신흥리,세종시,세종특별자치시
2008,35.28,집합,제2종근린생활, , , ,"15,000",11,3,2011, , ,1,3**,제2종일반주거, ,36110, , , ,조치원읍 신흥리,세종시,세종특별자치시
2008,35.28,집합,제2종근린생활, , , ,"15,000",11,3,2011, , ,1,3**,제2종일반주거, ,36110, , , ,조치원읍 신흥리,세종시,세종특별자치시
2009,84.87,집합,제2종근린생활, , , ,"20,000",22,3,2011, , ,2,1**,일반상업, ,36110, , , ,조치원읍 죽림리,세종시,세종특별자치시
2002,518.33,일반,제2종근린생활, , , ,"78,500",14,3,2011, , , ,1**,제2종일반주거,242,36110, , , ,조치원읍 서창리,세종시,세종특별자치시
1976,195.96,일반,제2종근린생활, , , ,"15,000",10,3,2011, , , ,3**,계획관리,223,36110, , , ,연기면 연기리,세종시,세종특별자치시
2009,27.61,집합,제1종근린생활, , , ,"7,000",25,3,2011, , ,1,1**,일반상업, ,36110, , , ,조치원읍 죽림리,세종시,세종특별자치시
2008,71.64,집합,제1종근린생활, , , ,"36,760",22,3,2011, , ,1,3**,제2종일반주거, ,36110, , , ,조치원읍 죽림리,세종시,세종특별자치시
1983,235.5,일반,제1종근린생활, , , ,"20,100",8,3,2011, , , ,1*,일반상업,96.2,36110, , , ,조치원읍 원리,세종시,세종특별자치시
2008,131.04,집합,제1종근린생활, , , ,"38,799",20,4,2011, , ,2,2*,준주거, ,36110, , , ,조치원읍 교리,세종시,세종특별자치시
2008,52.65,집합,제1종근린생활, , , ,"44,318",20,4,2011, , ,1,2*,준주거, ,36110, , , ,조치원읍 교리,세종시,세종특별자치시
1997,210.3,일반,제2종근린생활, , , ,"15,500",28,4,2011, , , ,4**,자연환경보전,327,36110, , , ,연서면 고복리,세종시,세종특별자치시
1994,43.2,집합,제2종근린생활, , , ,"7,400",12,4,2011, , ,1,2*,제2종일반주거, ,36110, , , ,조치원읍 죽림리,세종시,세종특별자치시
2009,680.04,일반,제2종근린생활, , , ,"133,000",28,4,2011, , , ,2**,제2종일반주거,273.1,36110, , , ,조치원읍 침산리,세종시,세종특별자치시
