buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2016,104.53,집합,업무, , , ,"32,055",23,1,2020, , , ,6**,중심상업, ,36110, , , ,어진동,세종시,세종특별자치시
2020,82.53,일반,제1종근린생활, , , ,"30,710",17,1,2020, , , ,7*,보전관리,451,36110, , , ,장군면 대교리,세종시,세종특별자치시
2011,33.75,집합,제1종근린생활, , , ,"31,000",20,1,2020, , ,1,9**,제2종일반주거, ,36110, , , ,한솔동,세종시,세종특별자치시
2015,96.0,일반,제2종근린생활, , , ,"65,500",30,1,2020, , , ,*,제2종일반주거,685,36110, , , ,조치원읍 죽림리,세종시,세종특별자치시
1988,1583.23,일반,기타, , , ,"63,000",30,1,2020, , , ,*,제2종일반주거,269.78,36110, ,지분, ,조치원읍 신흥리,세종시,세종특별자치시
2020,77.85,일반,제1종근린생활, , , ,"28,240",2,1,2020, , , ,7*,보전관리,373,36110, , , ,장군면 대교리,세종시,세종특별자치시
1997,84.0,일반,제2종근린생활, , , ,"20,800",15,1,2020, , , ,1**,계획관리,233,36110, , , ,장군면 도계리,세종시,세종특별자치시
1998,115.09,집합,기타, , , ,"4,000",23,1,2020, , ,2,2**,제1종일반주거, ,36110, , , ,전의면 동교리,세종시,세종특별자치시
 ,46.41,집합,업무, , , ,"15,500",7,1,2020, , ,6,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
 ,46.41,집합,업무, , , ,"15,500",7,1,2020, , ,6,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2014,42.8,집합,판매, , , ,"45,500",14,1,2020, , ,1,1***,근린상업, ,36110, , , ,아름동,세종시,세종특별자치시
2020,82.53,일반,제1종근린생활, , , ,"30,130",2,1,2020, , , ,7*,보전관리,413,36110, , , ,장군면 대교리,세종시,세종특별자치시
2009,861.88,일반,기타, , , ,"100,000",20,1,2020, , , ,1**,보전관리,1000,36110, , , ,전동면 송정리,세종시,세종특별자치시
 ,140.0,일반,제2종근린생활, , , ,"47,700",2,1,2020, , , ,2**,계획관리,712,36110, , , ,장군면 봉안리,세종시,세종특별자치시
2015,95.04,집합,제2종근린생활, , , ,"18,000",1,1,2020, , ,7,1***,근린상업, ,36110, , , ,고운동,세종시,세종특별자치시
2014,33.82,집합,제2종근린생활, , , ,"39,500",19,2,2020, , ,1,6**,제2종일반주거, ,36110, , , ,도담동,세종시,세종특별자치시
2014,33.82,집합,제2종근린생활, , , ,"40,000",19,2,2020, , ,1,6**,제2종일반주거, ,36110, , , ,도담동,세종시,세종특별자치시
2013,131.25,일반,제2종근린생활, , , ,"61,000",21,2,2020, , , ,4**,일반상업,168,36110, , , ,부강면 부강리,세종시,세종특별자치시
2005,130.5,일반,제1종근린생활, , , ,"75,000",14,2,2020, , , ,9*,계획관리,824,36110, , , ,연서면 봉암리,세종시,세종특별자치시
2017,51.4,일반,제1종근린생활, , , ,"42,500",5,2,2020, , , ,4**,생산관리,167,36110, , , ,장군면 금암리,세종시,세종특별자치시
 ,119.23,집합,업무, , , ,"32,000",20,2,2020, , ,3,7**,중심상업, ,36110, , , ,나성동,세종시,세종특별자치시
2015,73.74,집합,제1종근린생활, , , ,"29,500",11,2,2020, , ,5,6**,근린상업, ,36110, , , ,종촌동,세종시,세종특별자치시
2019,112.56,집합,제1종근린생활, , , ,"70,823",17,2,2020, , ,2,산1**,제1종전용주거, ,36110, , , ,고운동,세종시,세종특별자치시
2016,121.31,집합,제2종근린생활, , , ,"37,000",27,2,2020, , ,8,7**,중심상업, ,36110, , , ,나성동,세종시,세종특별자치시
2018,20.34,집합,제2종근린생활, , , ,"75,000",22,2,2020, , ,1,3**,중심상업, ,36110, , , ,나성동,세종시,세종특별자치시
2016,39.0,집합,제2종근린생활, , , ,"10,000",21,2,2020, , ,30,6**,중심상업, ,36110, , , ,어진동,세종시,세종특별자치시
2008,46.44,집합,제1종근린생활, , , ,"14,000",4,2,2020, , ,2,3**,제2종일반주거, ,36110, , , ,조치원읍 죽림리,세종시,세종특별자치시
2008,181.27,집합,제1종근린생활, , , ,"10,000",4,2,2020, , , ,3**,제2종일반주거, ,36110, , , ,조치원읍 죽림리,세종시,세종특별자치시
2015,677.58,집합,판매, , , ,"183,700",7,2,2020, , , ,6**,근린상업, ,36110, , , ,종촌동,세종시,세종특별자치시
2009,74.0,일반,제2종근린생활, , , ,"8,751",19,2,2020, , , ,3**,계획관리,181,36110, , , ,부강면 금호리,세종시,세종특별자치시
2015,36.0,집합,제2종근린생활, , , ,"37,500",10,2,2020, , ,11,6**,제2종일반주거, ,36110, , , ,종촌동,세종시,세종특별자치시
2015,82.65,집합,업무, , , ,"30,000",15,2,2020, , , ,5**,중심상업, ,36110, , , ,어진동,세종시,세종특별자치시
2015,76.47,집합,제2종근린생활, , , ,"37,000",4,2,2020, , , ,6**,근린상업, ,36110, , , ,종촌동,세종시,세종특별자치시
2019,115.92,일반,제2종근린생활, , , ,"47,000",9,3,2020, , , ,5**,자연녹지,598,36110, , , ,연서면 월하리,세종시,세종특별자치시
2016,93.47,집합,제2종근린생활, , , ,"32,000",26,3,2020, , , ,6**,중심상업, ,36110, , , ,어진동,세종시,세종특별자치시
2015,51.66,집합,제1종근린생활, , , ,"55,727",23,3,2020, , ,1,6**,일반상업, ,36110, , , ,도담동,세종시,세종특별자치시
2015,95.94,집합,제1종근린생활, , , ,"17,000",19,3,2020, , ,4,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2015,35.04,집합,제2종근린생활, , , ,"30,000",20,3,2020, , ,1,6**,제2종일반주거, ,36110, , , ,도담동,세종시,세종특별자치시
2018,113.08,집합,교육연구, , , ,"44,303",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,112.59,집합,교육연구, , , ,"44,157",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,69.22,집합,교육연구, , , ,"28,164",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,64.67,집합,교육연구, , , ,"27,691",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,137.64,집합,교육연구, , , ,"54,247",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,81.6,집합,교육연구, , , ,"32,728",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,82.08,집합,교육연구, , , ,"32,905",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,72.48,집합,교육연구, , , ,"29,365",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,107.64,집합,교육연구, , , ,"42,330",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,55.46,집합,교육연구, , , ,"22,398",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,62.41,집합,교육연구, , , ,"24,873",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,78.21,집합,교육연구, , , ,"30,503",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2018,74.54,집합,교육연구, , , ,"29,197",15,3,2020, , ,5,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
 ,46.6,집합,제2종근린생활, , , ,"35,000",21,3,2020, , ,1,9**,준주거, ,36110, , , ,한솔동,세종시,세종특별자치시
2012,46.07,집합,제2종근린생활, , , ,"35,000",18,3,2020, , ,1,9**,준주거, ,36110, , , ,한솔동,세종시,세종특별자치시
2015,45.44,집합,제1종근린생활, ,20.05.06,O,"23,000",6,3,2020, , ,1,6**,일반상업, ,36110, , , ,도담동,세종시,세종특별자치시
2015,43.66,집합,제1종근린생활, ,20.05.06,O,"22,000",6,3,2020, , ,1,6**,일반상업, ,36110, , , ,도담동,세종시,세종특별자치시
2015,41.95,집합,제1종근린생활, ,20.05.06,O,"24,000",6,3,2020, , ,1,6**,일반상업, ,36110, , , ,도담동,세종시,세종특별자치시
2015,53.91,집합,제1종근린생활, ,20.05.06,O,"31,000",6,3,2020, , ,1,6**,일반상업, ,36110, , , ,도담동,세종시,세종특별자치시
2015,38.51,집합,제1종근린생활, ,20.05.06,O,"20,000",6,3,2020, , ,1,6**,일반상업, ,36110, , , ,도담동,세종시,세종특별자치시
2015,38.51,집합,제1종근린생활, ,20.05.06,O,"20,000",6,3,2020, , ,1,6**,일반상업, ,36110, , , ,도담동,세종시,세종특별자치시
2015,67.65,집합,제1종근린생활, ,20.05.06,O,"12,000",6,3,2020, , ,2,6**,일반상업, ,36110, , , ,도담동,세종시,세종특별자치시
2015,35.69,집합,제1종근린생활, ,20.05.06,O,"6,700",6,3,2020, , ,2,6**,일반상업, ,36110, , , ,도담동,세종시,세종특별자치시
