buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2009,40.8,집합,판매, , , ,"11,250",21,1,2011, , ,5,1***,일반상업, ,50110,제주시, , ,노형동,제주시,제주특별자치도
1996,481.46,일반,제2종근린생활, , , ,"30,100",20,1,2011, , , ,1***,제2종일반주거,187.8,50110,제주시, , ,이도이동,제주시,제주특별자치도
1991,4957.8,일반,제2종근린생활, , , ,"435,000",17,1,2011, , , ,2**,일반상업,1071,50110,제주시, , ,연동,제주시,제주특별자치도
1990,1589.72,일반,제1종근린생활, , , ,"152,500",25,1,2011, , , ,2**,제2종일반주거,758.5,50110,제주시, , ,연동,제주시,제주특별자치도
1994,110.74,집합,제2종근린생활, , , ,"7,750",8,1,2011, , ,1,7*,제2종일반주거, ,50110,제주시, , ,도남동,제주시,제주특별자치도
2001,80.75,일반,제2종근린생활, , , ,"3,000",19,1,2011, , , ,1*,관리,102,50110,제주시, , ,추자면 대서리,제주시,제주특별자치도
2007,81.52,집합,제1종근린생활, , , ,"23,000",3,1,2011, , ,1,1***,제2종일반주거, ,50110,제주시, , ,연동,제주시,제주특별자치도
1977,141.0,일반,제2종근린생활, , , ,"12,000",24,1,2011, , , ,1***,일반상업,58.4,50110,제주시,지분, ,이도이동,제주시,제주특별자치도
1990,46.08,일반,제2종근린생활, , , ,"2,500",14,1,2011, , , ,8**,관리,1494,50110,제주시, , ,애월읍 유수암리,제주시,제주특별자치도
1985,492.0,일반,숙박, , , ,"23,900",15,1,2011, , , ,5**,일반상업,206.6,50110,제주시, , ,삼도일동,제주시,제주특별자치도
2006,1.52,집합,숙박, , , ,649,13,1,2011, , ,1,1***,자연녹지, ,50110,제주시,지분, ,한림읍 금능리,제주시,제주특별자치도
1974,170.24,일반,제1종근린생활, , , ,"18,000",25,1,2011, , , ,1**,준주거,264,50110,제주시, , ,용담일동,제주시,제주특별자치도
1988,210.24,일반,숙박, , , ,"27,500",24,1,2011, , , ,3**,일반상업,122.7,50110,제주시, , ,일도이동,제주시,제주특별자치도
1999,60.83,집합,제1종근린생활, , , ,"6,000",18,1,2011, , ,1,2**,제2종일반주거, ,50110,제주시,지분, ,연동,제주시,제주특별자치도
2011,151.34,집합,제1종근린생활, , , ,"26,158",26,1,2011, , ,1,6*,제2종일반주거, ,50110,제주시, , ,도남동,제주시,제주특별자치도
1999,63.57,집합,제1종근린생활, , , ,"6,000",18,1,2011, , ,1,2**,제2종일반주거, ,50110,제주시,지분, ,연동,제주시,제주특별자치도
1999,63.57,집합,제1종근린생활, , , ,"6,000",18,1,2011, , ,1,2**,제2종일반주거, ,50110,제주시,지분, ,연동,제주시,제주특별자치도
1986,855.57,일반,제1종근린생활, , , ,"260,000",24,1,2011, , , ,1***,일반상업,273.38,50110,제주시, , ,일도일동,제주시,제주특별자치도
1982,778.91,일반,제2종근린생활, , , ,"125,000",21,1,2011, , , ,2**,일반상업,529.1,50110,제주시, , ,연동,제주시,제주특별자치도
2011,105.43,집합,제2종근린생활, , , ,"14,316",28,1,2011, , ,2,9**,일반상업, ,50110,제주시, , ,노형동,제주시,제주특별자치도
2011,244.87,집합,제1종근린생활, , , ,"40,000",28,1,2011, , ,1,2***,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2010,55.38,집합,제2종근린생활, , , ,"10,230",21,1,2011, , ,9,1***,일반상업, ,50110,제주시, , ,이도이동,제주시,제주특별자치도
2000,59.34,집합,제2종근린생활, , , ,"9,000",27,1,2011, , ,1,1***,제2종일반주거, ,50110,제주시, , ,노형동,제주시,제주특별자치도
2001,118.21,집합,제2종근린생활, , , ,"6,000",28,1,2011, , , ,2***,제2종일반주거, ,50110,제주시, , ,노형동,제주시,제주특별자치도
2001,832.86,일반,교육연구, , , ,"127,000",14,1,2011, , , ,1***,일반상업,271.1,50110,제주시, , ,이도이동,제주시,제주특별자치도
2001,29.25,집합,제1종근린생활, , , ,"6,000",28,1,2011, , ,1,7**,제2종일반주거, ,50110,제주시, , ,노형동,제주시,제주특별자치도
1935,16.53,일반,제1종근린생활, , , ,"3,950",24,1,2011, , , ,1***,제1종일반주거,261,50110,제주시, , ,조천읍 신촌리,제주시,제주특별자치도
1994,313.52,일반,제1종근린생활, , , ,"22,500",18,1,2011, , , ,1***,제2종일반주거,291.2,50110,제주시, , ,화북일동,제주시,제주특별자치도
1998,29.4,집합,제2종근린생활, , , ,"6,050",26,1,2011, , ,2,1*,제2종일반주거, ,50110,제주시, , ,화북일동,제주시,제주특별자치도
1988,172.74,일반,제1종근린생활, , , ,"18,000",26,1,2011, , , ,3**,준주거,139.6,50110,제주시, , ,일도이동,제주시,제주특별자치도
2001,41.63,집합,제2종근린생활, , , ,"2,400",25,1,2011, , , ,1***,제2종일반주거, ,50110,제주시, , ,이도이동,제주시,제주특별자치도
1995,295.48,일반,제2종근린생활, , , ,"24,250",25,1,2011, , , ,1***,제2종일반주거,169.3,50110,제주시, , ,노형동,제주시,제주특별자치도
1995,12.76,집합,제1종근린생활, , , ,"1,275",25,1,2011, , ,1,9**,제2종일반주거, ,50110,제주시,지분, ,노형동,제주시,제주특별자치도
1995,9.82,집합,제2종근린생활, , , ,"1,000",25,1,2011, , ,1,9**,제2종일반주거, ,50110,제주시,지분, ,노형동,제주시,제주특별자치도
1995,9.82,집합,제2종근린생활, , , ,"1,000",25,1,2011, , ,1,9**,제2종일반주거, ,50110,제주시,지분, ,노형동,제주시,제주특별자치도
