buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2002,477.15,일반,제1종근린생활, , , ,"80,000",20,1,2015, , , ,2***,자연녹지,794,50110,제주시, , ,오라이동,제주시,제주특별자치도
2005,248.28,집합,제2종근린생활, , , ,"25,000",23,1,2015, , , ,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2005,248.28,집합,업무, , , ,"25,000",23,1,2015, , ,2,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2003,73.4,집합,제1종근린생활, , , ,"3,200",27,1,2015, , , ,1***,준주거, ,50110,제주시, , ,건입동,제주시,제주특별자치도
2012,153.61,집합,제2종근린생활, , , ,"21,000",14,1,2015, , ,2,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
1981,420.73,일반,제2종근린생활, , , ,"30,000",21,1,2015, , , ,2**,준주거,169.4,50110,제주시, , ,용담일동,제주시,제주특별자치도
2014,74.58,집합,제2종근린생활, , , ,"24,143",28,1,2015, , ,2,2***,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2014,72.2,집합,제2종근린생활, , , ,"23,375",28,1,2015, , ,2,2***,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2004,33.18,집합,숙박, , , ,"1,085",22,1,2015, , ,5,2**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
2013,118.55,집합,제1종근린생활, , , ,"48,900",2,1,2015, , , ,6**,자연녹지, ,50110,제주시, , ,노형동,제주시,제주특별자치도
2000,23.31,집합,제1종근린생활, , , ,"1,500",29,1,2015, , ,1,7**,제2종일반주거, ,50110,제주시, , ,삼도일동,제주시,제주특별자치도
1985,63.37,일반,제1종근린생활, , , ,"22,000",22,1,2015, , , ,*,보전관리,638,50110,제주시, , ,애월읍 광령리,제주시,제주특별자치도
1992,7.84,집합,제1종근린생활, , , ,"1,000",28,1,2015, , , ,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2005,120.54,집합,제2종근린생활, , , ,"10,000",9,1,2015, , ,1,1***,제2종일반주거, ,50110,제주시, , ,애월읍 하귀2리,제주시,제주특별자치도
2011,22.44,집합,제2종근린생활, , , ,"4,600",20,1,2015, , , ,3**,제1종일반주거, ,50110,제주시, , ,연동,제주시,제주특별자치도
2009,67.86,집합,제1종근린생활, , , ,"15,000",16,1,2015, , , ,3**,준주거, ,50110,제주시, , ,일도이동,제주시,제주특별자치도
2009,55.0,집합,제1종근린생활, , , ,"13,000",16,1,2015, , , ,3**,준주거, ,50110,제주시, , ,일도이동,제주시,제주특별자치도
1993,140.24,집합,제2종근린생활, , , ,"17,500",12,1,2015, , ,1,3**,일반상업, ,50110,제주시, , ,일도이동,제주시,제주특별자치도
2011,109.96,집합,숙박, , , ,"42,000",2,1,2015, , , ,2***,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
2004,57.56,집합,숙박, , , ,"2,900",30,1,2015, , ,5,2**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
 ,643.3,일반,제2종근린생활, , , ,"79,000",7,1,2015, , , ,1***,일반상업,274.5,50110,제주시, , ,삼도이동,제주시,제주특별자치도
2004,57.56,집합,숙박, , , ,"2,600",29,1,2015, , ,4,2**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
2011,22.44,집합,제2종근린생활, , , ,"4,600",20,1,2015, , ,1,3**,제1종일반주거, ,50110,제주시, , ,연동,제주시,제주특별자치도
1995,35.0,집합,제1종근린생활, , , ,"5,500",2,1,2015, , ,1,4**,제2종일반주거, ,50110,제주시, , ,이도이동,제주시,제주특별자치도
